,customer_unique_id,R,F,M
19,000e309254ab1fc5ba99dd469d36bdb4,9876981.0,1.5849625007211563,6.311430455749744
33,00172711b30d52eea8b313a7f2cced02,5645771.0,1.5849625007211563,7.937462100716438
55,0028a7d8db7b0247652509358ad8d755,26617239.0,1.5849625007211563,8.475206507911906
73,00324c9f4d710e7bac5c5ba679714430,41719780.0,1.5849625007211563,6.791553633388597
106,004288347e5e88a27ded2bb23747066c,23882004.0,1.5849625007211563,8.473178085328037
124,004b45ec5c64187465168251cd1c9c2f,12433650.0,1.5849625007211563,7.216454865144757
144,0058f300f57d7b93c477a131a59b36c3,18055237.0,2.0,7.464178137886826
232,00986cafefb6e670cceca01694bda599,25054511.0,1.5849625007211563,6.0855521272092945
249,00a39521eb40f7012db50455bf083460,11776641.0,1.5849625007211563,6.957102041562287
254,00a9fd000ff87bb48b989df819c418f5,18267711.0,2.321928094887362,8.024585638278273
275,00b309d0151d92709de70e43d662711b,32075526.0,1.5849625007211563,6.765269520690589
286,00bd169997f142571c113645554663d6,28521911.0,1.5849625007211563,5.82273014794452
289,00be1845d956d40218db17093f667764,28254062.0,1.5849625007211563,6.122258567811998
312,00cc12a6d8b578b8ebd21ea4e2ae8b27,49673095.0,1.5849625007211563,6.990954860396993
334,00d8ba74be3eee415fe4508fdd325ee5,22383855.0,1.5849625007211563,8.545698147275987
366,00ec6ce865af3a65e9cca32b180e5d20,19180527.0,1.5849625007211563,7.554281862626391
377,00face5c8f7dbb7eefd4112722f26903,19253924.0,2.807354922057604,4.867402305727543
389,01027e860e6fb9591599d94a4189e2ad,12779104.0,1.5849625007211563,6.851998837112446
414,011575986092c30523ecb71ff10cb473,15708730.0,1.5849625007211563,7.754219433135143
423,0117fb2675e2936a2e96dee22e8c992b,13488217.0,1.5849625007211563,6.630667565231957
429,011b4adcd54683b480c4d841250a987f,21102561.0,1.5849625007211563,7.890568290306585
436,012216caf4f1082ba3fc02e584de9a29,31513376.0,1.5849625007211563,6.535586436354844
438,012452d40dafae4df401bced74cdb490,13497453.0,2.0,8.955155848808657
448,012a218df8995d3ec3bb221828360c86,10470100.0,2.0,10.561650721598253
471,01399b72331afe80cc0c3a982cafb177,8808912.0,2.0,5.383704292474053
472,0139d2cb6ca3b630b5833d49634d328e,28957177.0,1.5849625007211563,7.076388068512841
478,013ef03e0f3f408dd9bf555e4edcdc0a,7737384.0,1.5849625007211563,7.9446827823082184
479,013f3d6549189a4802a268131ef47a77,31989180.0,1.5849625007211563,6.583458910130769
480,013f4353d26bb05dc6652f1269458d8d,27921560.0,1.5849625007211563,8.481355457192056
496,014dc284927e986549bf255eb79eb3ab,25300474.0,1.5849625007211563,7.122983254080777
497,014dcb5d582d60bca6a379e45a9041da,22201979.0,2.321928094887362,4.897724470216444
513,015557c9912277312b9073947804a7ba,46147305.0,1.5849625007211563,8.30432850305588
